Category,Event Name,City,State,Attendance,Exhibitors,Date,Description
Food & Hospitality,I Like It Hot! Festival,Largo,Florida,-,-,Sep 12 - Sep 13,Food & Beverage Show
Food & Hospitality,Independence Uncorked,Independence,Missouri,-,-,Sep 12 - Sep 12,Food & Beverage Show
Food & Hospitality,Kennett Square Mushroom Festival,Kennett Square,Pennsylvania,-,-,Sep 12 - Sep 13,Food & Beverage Show
Food & Hospitality,Lemon Festival,Goleta,California,-,-,Sep 12 - Sep 13,Food & Beverage Show
Food & Hospitality,Wine & Cheese Festival,Clermont,Florida,-,-,Sep 12 - Sep 13,Food & Beverage Show
Air & Water Shows,Northern Illinois Airshow,Waukegan,Illinois,-,-,Sep 12 - Sep 12,Air Show
"Agriculture, Flower & Garden",Lawn and Garden Show 2020 Atlantic City,Atlantic City,New Jersey,"1,225",-,Sep 13 - Sep 16,Flower & Garden Show
Air & Water Shows,Our Dream Wedding Expo - Tampa 2020,Tampa,Florida,-,-,Sep 13 - Sep 13,"About Us

Tampa Our Dream Wedding Expo will be held Sep 13th, 2020 in Tampa, FL. This Tampa wedding fair is held at Sheraton Tampa Brandon and hosted by Our Dream Wedding Expo.

The areas BEST wedding professionals.
Bring friends, family and fianc‚s.
Professional wedding exhibitors.
Enjoy cake and desserts.
High-energy runway fashion show.
Don't want to miss the ""Game of Grooms"".
Many Grand Prizes and Door Prizes!

Source : Event Website"
"Literary, Books & Writers",2020 Digital Book World Conference + Expo,Nashville,Tennessee,-,-,Sep 14 - Sep 15,Book Show
Air & Water Shows,Big Iron Farm Show XL,West Fargo,North Dakota,"70,000",950,Sep 15 - Sep 17,"EXPERIENCE MIDWEST AGRIBUSINESS - In 1980, a farm equipment show took root in Casselton, ND with the idea of showcasing the latest in ?big iron.? This was indeed the start of something big. One year later, with a successful inaugural event behind them, the Red River Valley Fair Association moved the event to the spacious West Fargo Fairgrounds.

Since then, the event has grown each year, from a farm equipment show to a three-day celebration of rural living?agribusiness, health, innovation and technology. In 2015, more than 70,000 attendees came from across the nation and several other countries to see demonstrations, visit 900+ exhibit booths, connect with their peers and attend training sessions. Today, there is little doubt that Big Iron Farm Show is the event for agribusiness.

GOOD REASONS TO MARKET YOUR BUSINESS AT BIG IRON FARM SHOW & EXPOSITION
70,000 attendees
National and International presence
3 days of events and exhibits
The power of face-to-face communication
Without doubt, the Big Iron Farm Show is the show that connects buyers and sellers in agriculture. Since its inception in 1980, this show has grown from a farm equipment show to an international venue showcasing everything new in agriculture."
Food & Hospitality,2020 Valparaiso Popcorn Festval,Valparaiso,Indiana,-,-,Sep 15 - Sep 15,Food & Beverage Show
"Bike, Car & Motorcycle",51st Annual Golden Aspen Motorcycle Rally 2020,Ruidoso,New Mexico,"20,000",-,Sep 16 - Sep 20,Motorcycle Show
Food & Hospitality,Kentucky Bourbon Festival 2020,Bardstown,Kentucky,-,-,Sep 16 - Sep 20,"Event Overview: Since 1776, the people of Bardstown, Kentucky have been making Bourbon. Their dedication to the fine art of distilling eventually gave Bardstown the title of Bourbon Capital of the World. Come celebrate this passion and history at The Kentucky Bourbon Festival. The Kentucky Bourbon Festival gives you 6 full days of smooth Bourbon, delicious food, and great entertainment, with a healthy dose of Kentucky hospitality thrown in for good measure. From black tie galas to historical tours, there is something for all ages and interests. It?s a wonderful six-day event full of activities for the whole family. Beautiful Bardstown is a historical treasure nestled away in the Kentucky countryside. There are shops, fine restaurants, trains, museums and of course the distilleries that have made Bardstown famous the whole world over. Come celebrate the spirit of Kentucky at The Kentucky Bourbon Festival."
RV & Motor Show,Pennsylvania RV & Camping Show,Hershey,Pennsylvania,-,-,Sep 16 - Sep 20,RV Show
Air & Water Shows,Reno National Championship Air Races,Reno,Nevada,-,-,Sep 16 - Sep 20,Air Show
"Bike, Car & Motorcycle",OC Bikefest 2020,Ocean City,Maryland,-,-,Sep 17 - Sep 20,"In conjunction with the Delmarva Bike Rally, which attracts 150,000+ motorcycling enthusiasts to the area ? OC BikeFest raises the bar and brings those bikers down to the beach to enjoy a gated event with concerts, stunt shows, custom bike builders, national motorcycle vendors, shops, rides, and the fabulous bars and restaurants of Ocean City. "
Air & Water Shows,50th Annual Newport International Boat Show 2020,Newport,Rhode Island,-,-,Sep 17 - Sep 20,"The Newport International Boat Show encompasses thirteen acres of Newport?s downtown waterfront. Exhibitors from near and far offer a full range of new powerboats and sailboats, plus a medley of marine products, services and accessories to enhance the nautical lifestyle. Special events, seminars, and in-water boating courses for the whole family are offered on all show days. Not to be missed is the exciting Newport For New Products program ? showcasing boats and boating products making their first-ever debut in the United States.

Newport?s coastal scenery, national historic sites and world-class restaurants makes it easy to pair your passion for boating with the beauty of fall in New England."
Food & Hospitality,Annual GrapeFestÿ2020,Grapevine,Texas,-,-,Sep 17 - Sep 20,Food & Beverage Show
Food & Hospitality,2020 Breckenridge Wine Classic,Breckenridge,Colorado,-,-,Sep 17 - Sep 19,Food & Beverage Show
Food & Hospitality,Lodi Grape Festival,Lodi,California,-,-,Sep 17 - Sep 20,Food & Beverage Show
Food & Hospitality,Colorado Mountain Winefest 2020,Palisade,Colorado,-,-,Sep 17 - Sep 20,Food & Beverage Show
Food & Hospitality,New Port Mansions Wine & Food Festival,Newport,Rhode Island,-,-,Sep 17 - Sep 20,Food & Beverage Show
Food & Hospitality,2020 Sonoma County Wine Auction,Windsor,California,-,-,Sep 17 - Sep 19,Food & Beverage Show
Air & Water Shows,National Championship Air Races and Air Show 2020,Reno,Nevada,-,-,Sep 17 - Sep 20,Air Show
Music Festival,Monterey Jazz Festival,Monterey,California,-,-,Sep 18 - Sep 20,"The Monterey Jazz Festival celebrates the legacy of jazz, expands its boundaries, and provides opportunities to experience jazz through the creative production of performances and educational programs. We are proud to provide year-round Jazz Education Programs, showcased in our annual Next Generation Jazz Festival. We are pleased to present the world's best jazz entertainment in the Monterey Jazz Festival, the longest running jazz festival in the world.

Held every September on the Monterey County Fairgrounds site where the Festival was first presented in 1958, the Monterey Jazz Festival began as a dream for founder Jimmy Lyons and his co-founder and colleague, Ralph Gleason. It was a dream of a ""sylvan setting with the best jazz people in the whole world playing on the same stage, having a whole weekend of jazz."" That dream became reality in 1958, with the first Monterey Jazz Festival bringing in artists like Dizzy Gillespie, Louis Armstrong, John Lewis, Shelly Manne, Gerry Mulligan, Art Farmer, Ernestine Anderson, Harry James, Max Roach, and Billie Holiday.

Every year since then, every third full weekend in September sees the same caliber of talent grace the now eight stages on the Monterey Fairgrounds, as the Monterey Jazz Festival presents the best jazz performers in the world for a three-day celebration of the best in jazz. In addition, the Monterey Jazz Festival features jazz conversations, panel discussions, workshops, exhibitions, clinics, and an international array of food, shopping, and festivities spread throughout the 20-acre Monterey County Fairgrounds.

Monterey Jazz Festival is a 501(c)3 educational nonprofit corporation.

Over 500 artists will be performing nonstop on 8 stages for 3 nights and 2 days of the world's best jazz.

Venues
Outdoor venues include the Arena (Jimmy Lyons Stage), the Garden Stage, the West Lawn Stage, and the Courtyard Stage.  Indoor venues include the Night Club (Bill Berry Stage), Dizzy's Den, the Jazz Theater, and the Coffee House Gallery. The Festival's Premier Club (available with Arena or Adult Grounds Stage Ticket purchase) includes entry to the Premier Club (featuring closed circuit Arena simulcasts), artist visits, hosted bar, access to private restrooms, and many other amenities."
"Bike, Car & Motorcycle",15th Fall Redneck Rumble 2020,Lebanon,Tennessee,-,-,Sep 18 - Sep 19,Motorcycle Show
Retail & Wholesale,"Treasures of the Earth Gem, Mineral & Jewelry Show",Richmond,Virginia,-,-,Sep 18 - Sep 20,"Vendors from across the United States bring a variety of merchandise.  Their items include

14K and sterling silver, classic, estate, fashion and handmade jewelry
Loose stones, beads and findings, pearls, mineral specimens, rocks, crystals  
Wide selection of custom-faceted gemstones
Display of Virginia rocks and minerals and of dinosaur bones by the Richmond Gem and Mineral Society
Gemologist available for on-site appraisals
 

Hours:  Friday Noon-6pm, Saturday 10am-5pm, Sunday 10am-5pm

 

Admission:  $6.00Adults, 16 and under free"
Food & Hospitality,Green County Cheese Days,Monroe,Wisconsin,-,-,Sep 18 - Sep 20,Food & Beverage Show
Food & Hospitality,2020 Chile & Frijoles Festival,Pueblo,Colorado,-,-,Sep 18 - Sep 18,Food & Beverage Show
"Agriculture, Flower & Garden",South Bay Orchid Society Spring Show 2020,Palos Verdes Estates,California,-,-,Sep 19 - Sep 20,Flower & Garden Show
Food & Hospitality,Wild West Chocolate Fest,Loveland,Colorado,-,-,Sep 19 - Sep 19,Food & Beverage Show
Food & Hospitality,Wine & Harvest Festival,Cedarburg,Wisconsin,-,-,Sep 19 - Sep 20,Food & Beverage Show
Food & Hospitality,2020 Vintage Ilinois,Oglesby,Illinois,-,-,Sep 19 - Sep 20,Food & Beverage Show
Air & Water Shows,Ocean City Airport Festival,Berlin,Maryland,-,-,Sep 19 - Sep 19,Air Show
"Bike, Car & Motorcycle","Bikes, Blues and BBQ 2020 Motorcycle Rally",Fayetteville,Arkansas,-,-,Sep 23 - Sep 26,"Welcome to Bikes, Blues and BBQ 2020! This year's rally is scheduled for September 23rd through 26th and we can't wait to hear the rumble in the Ozarks. If you have not experienced the roads of the Ozarks, then you are in for a fun experience. If you are a rally regular, then we want to welcome you back for another fun year.

Bikes, Blues and BBQ is the world's largest charity motorcycle rally that benefits women, children, and the underserved members of the Northwest Arkansas community. Over the course of our 20 years, we have raised over $2 million for local charities. We appreciate your support of our event and the difference that you make for our non-profit organizations. We pride ourselves in being a family friendly event, inclusive of all members of the community and in no way condone or accept racism, white supremacy, bigotry, fascism, intolerance or hate speech. We look forward to another successful event. Can't wait to see you in September! "
"Literary, Books & Writers",2020 California Independent Booksellers Alliance Discovery Show,San Francisco,California,-,-,Sep 23 - Sep 25,Book Show
Food & Hospitality,Santa Fe Wine & Chile Fiestaÿ2020,Santa Fe,New Mexico,-,-,Sep 23 - Sep 27,Food & Beverage Show
Animal & Pets,2020 Great American Beer Festival (GABF),Denver,Colorado,"7,000",600,Sep 24 - Sep 26,"Event Overview:

The Great American Beer Festival is the premier U.S. beer festival and competition.

Each year, GABF represents the largest collection of U.S. beer ever served, in a public tasting event plus a private competition. GABF brings together the brewers and diverse beers that make the U.S. the world?s greatest brewing nation.

GABF was founded in 1982, and has been growing and evolving along with the American craft brewing industry ever since.

Exhibitor Information:

The Great American Beer Festival? (GABF) is the largest and longest-running celebration of American brewing. Some 800+ breweries are expected to present more than 4,000 beers to a crowd of 60,000 during the three-day salute to American brewing.

GABF gives your company exposure to the entire brewing community and those who love craft brewed beer. From the smallest brewpub to the largest brewery, from the novice attendee to the dedicated beer geek, thousands of beer lovers and homebrewers from around the world converge on Denver for three days of sampling the best beers in the U.S.

The festival draws a diverse crowd, with active, 21-45 year-old professionals as the largest demographic. The event is great fun - interactive booths are very popular and complement the many beer and related fun booths. Learn about event facts & figures, attendee demographic information and more!

About Brewers Association:

The Brewers Association is an organization of brewers, for brewers and by brewers. More than 4,380 US brewery members and 46,000 members of the American Homebrewers Association are joined by members of the allied trade, beer distributors, individuals, other associate members and the Brewers Association staff to make up the Brewers Association."
"Bike, Car & Motorcycle",Street Vibrations 2020 Fall Motorcycle Rally,Reno,Nevada,"50,000",250,Sep 24 - Sep 27,"Street Vibrations Fall Motorcycle Festival is a celebration of music, metal and motorcycles, offering poker runs, live entertainment, ride-in shows, stunt and bike shows and more to more than 50,000 riding enthusiasts. Taking place throughout the region with major event venues planned in downtown Reno, historic Virginia City, at Reno Harley-Davidson, Carson City Motorsports and Battle Born Harley-Davidson in Carson City.

Grand Marshal Erik Estrada will head up the Police on Parade. Wet your whistle at the bikini bar with bartenders from the International Bikini Team inside the Reno Ballroom and at the Hog Town Bar in the Eldorado Plaza.

Don?t miss the Silver Legacy American Heat? Custom Bike Show managed by Mondo Porras of Denver's Choppers, this year including Chicano Yank. This event will be held in the Reno Ballroom along with the Bike Corral, where registered VIPs can sell their motorcycles.

Check out the Tattoo Expo for body art extraordinaire with live tattooing available. Swell with pride in your country at the ceremonial flag raising and national anthem. See if you've got what it takes to win the Good Vibrations? Slow Bike Races or cheer on your favorites, at the Reno Arch.

Enjoy plenty of local and regional bands on 7 outdoor stages throughout the rally. Visit and shop the 250 vendors and many factory rigs selling everything for your motorcycle and more.

New to the rally is the Burning Ninja fire show. Returning once again is world famous Monte Perlin and his Globe of Death.

The Blue Knights Law Enforcement Motorcycle Club will lead a parade from Reno Harley-Davidson? to the Eldorado Outdoom Main Event Stage in downtown Reno.

Don't miss the ""Then Came Bronson"" display in the Reno Ballroom featuring bikes and memorabilia from the iconic 1969 - 1970 TV show starring Michael Parks.

The event is open to all motorcycles and is FREE to the public."
"Bike, Car & Motorcycle",OC Auto Show 2020,Anaheim,California,-,-,Sep 24 - Sep 27,Auto Show
Boat Show,Progressive Norwalk Boat Show 2020,Norwalk,Connecticut,-,-,Sep 24 - Sep 27,Boat Show
Food & Hospitality,?Preston County Buckwheat Festival 2020,Kingwood,West Virginia,-,-,Sep 24 - Sep 27,Food & Beverage Show
Food & Hospitality,World Chicken Festival,London,Kentucky,-,-,Sep 24 - Sep 27,Food & Beverage Show
Retail & Wholesale,"Treasures of the Earth Gem, Mineral & Jewelry Show",Ocean City,Maryland,-,-,Sep 25 - Sep 27,"Annual Fall Show 

This show has something for everyone!  Vendors from across the United States bring their merchandise to you.  Their items include

14K and sterling silver, classic, estate, fashion and handmade jewelry
Wide selection of custom faceted gemstones
Loose stones, beads and findings, pearls
Mineral specimens, rocks, fossils, crystals, art jewelry
Friday Noon-6pm, Saturday 10am-5pm, Sunday 10am-4pm

$6 for adults, 16 and under free

For more information & admission discount coupon, visit www.TreasuresOfTheEarth.com"
"Literary, Books & Writers",2020 Harbor Springs Festival of the Book,Harbor Springs,Michigan,-,-,Sep 25 - Sep 27,Book Show
"Agriculture, Flower & Garden",Auburn Fall Home Show,Auburn,California,-,-,Sep 25 - Sep 27,Flower & Garden Show
RV & Motor Show,Washington State Evergreen Fall RV Show,Monroe,Washington,-,-,Sep 25 - Sep 27,RV Show
Air & Water Shows,MCAS Miramar Air Show,San Diego,California,-,-,Sep 25 - Sep 27,Air Show
Air & Water Shows,Oregon International Air Show,McMinnville,Oregon,-,-,Sep 25 - Sep 27,Air Show
Animal & Pets,EQUITANA USA,Lexington-Fayette,Kentucky,-,-,Sep 25 - Sep 27,Pets & Animals 
"Art, Craft & Collectibles","Sugarloaf Crafts Festival Gaithersburg, MD",Gaithersburg,Maryland,-,-,Sep 25 - Sep 27,"Each of the 11 annual Sugarloaf festivals is about immersing independent artisans, collectors and enthusiasts alike in the artistic community, creating an atmosphere and experience unlike any other. People of all ages and backgrounds are brought together by their shared interest in arts, crafts and design. The result is a festival that is consistently ranked in the top-50 craft shows in the world, with something to offer for people of all ages.

The 200 to 450 emerging and established artisans that make up a Sugarloaf Crafts Festival are all carefully curated and juried to highlight skill, quality, creativity and design, and all items are handmade with the finest care. High quality contemporary jewelry, pottery, forged metal, textiles and more are available for both everyday use and special occasions. Furthermore, all artisans are in attendance at every show to meet old and new fans, tell their stories and build relationships.  It?s no wonder that Sugarloaf festivals have helped launch the entrepreneurial careers of more than 100,000 artists and craftspeople. With unique items available for all interests, tastes and price points, everyone will leave a festival happy.

But the amazing art and craft selection isn?t all you?ll find at a Sugarloaf festival. Each three-day event also features a variety of live art demonstrations and hands-on workshops, giving the public a taste of the process that goes into some of the finished products they?ve seen. Past demonstrations have included live stoneware art, sculpting and glass blowing. Sugarloaf also brings in some of the best local and regional jazz and folk musicians, along with popular children?s entertainment. If you?re feeling hungry, you can choose from dozens of specialty food vendors, allowing you to stock up your pantry or enjoy an artisan dinner.

If you have a passion for fine arts and crafts, you owe to yourself to come to a Sugarloaf Crafts Festival this season. Visit the Schedule section for more information about festival dates, locations, artists and tickets. Once you?ve been to one, you too will feel like a member of the Sugarloaf family!"
Food & Hospitality,Vegas Vegfest 2020,Las Vegas,Nevada,-,-,Sep 26 - Sep 26,Food & Beverage Show
Air & Water Shows,Crossville Open House & Fly-In 2020,Crossville,Tennessee,-,-,Sep 26 - Sep 26,Air Show
Food & Hospitality,39th Annual Oyster Run 2020,Anacortes,Washington,-,-,Sep 27 - Sep 27,Food & Beverage Show
Food & Hospitality,Roswell Chile Cheese Festival 2020,Roswell,New Mexico,-,-,Sep 27 - Sep 28,Food & Beverage Show
State Fair,Norsk Hostfest 2020,Minot,North Dakota,"60,000",27,Sep 30 - Oct 3,"Event Overview:

Norsk H?stfest is a 501(c)3 nonprofit organization that raises funds to preserve, improve and share Scandinavian culture, heritage and educational programs. Program focus areas include H?stfest in the Schools, Scandinavian Youth Camp, the Scandinavian-American Hall of Fame, Skien-Minot sister city relationship, and Norsk H?stfest. The festival also crowns an yearly Miss Norsk H?stfest and holds trips to Denbigh, ND, for the annual wreath-laying ceremony honoring Sondre Norheim.

Norsk H?stfest is held annually in the fall in the N.D. State Fair Center on the North Dakota State Fairgrounds in Minot, N.D., USA. The festival was founded in 1978 by the late Chester Reiten and a group of friends who shared his interest in celebrating their Nordic heritage. The festival, now entering into its 40th year, has grown into North America?s largest Scandinavian festival with tens of thousands of people attending from all over the world.

The festival features world-class entertainment, authentic Scandinavian cuisine, Scandinavian culture on display, handcrafted Norsk merchandise, plus a fine dining establishment lead by guest chefs.

Norsk H?stfest celebrates Scandinavian culture and heritage of the five Nordic countries of Denmark, Finland, Iceland, Norway, and Sweden.  Each nation is represented in one of the halls in which the festival takes place, and each named after their country's capital city.  The individual styles of each country's entertainment, food, clothes, art, and jewelry can be found throughout Norsk H?stfest and also in the Scandinavian Heritage Park, the only park in the world representing all five Nordic countries.

While the festival has grown to become the largest Scandinavian festival in North American, there are other entities in Minot, ND, that has sprouted from the same interest of preserving heritage and celebrating Nordic culture. Among those organizations that have been cultivated through the joint interest in the Scandinavian culture are the Scandinavian Heritage Association, H?stfest-Heritage Foundation and the Telemark Trade Office.

Exhibitor Information:

Norsk Hostfest actively seeks vendors who have demonstrated a history of producing high quality, Nordic-themed products to participate at the festival. Norsk Hostfest selects vendors by an invitation-only basis.

All items sold must be in the character and spirit of Norsk H?stfest and be representative of the Nordic theme. All work must be handcrafted by the Exhibitor or approved in advance by the Viking Market Coordinator. All other products must meet the Scandinavian theme criteria.

Craftsmanship and related products must be high quality and have an authentic Scandinavian connection. It also must be artist's own work. Work that falls below quality standards, or work not representative of Scandinavia shall be removed at the discretion of the Nordic Content Coordinator.

Exhibitors and workers in the Viking Market booths are encouraged to be in Nordic costume. Bunads and Viking clothing are preferable. A Norwegian sweater or a Norsk H?stfest apron is acceptable."
"Bike, Car & Motorcycle",AIMExpo 2020 - American International Motorcycle Expo,Columbus,Ohio,-,-,Oct 1 - Oct 4,"For 2020, AIMExpo presented by Nationwide heads back to the Greater Columbus Convention Center in Columbus, Ohio on October 1-4, 2020. See below to learn more about the wide range of features that make AIMExpo presented by Nationwide the ultimate must-attend powersports event of the year!

AIMExpo presented by Nationwide is North America?s largest Motorcycle and Powersports Tradeshow and Lifestyle event with international reach. It is also the single most important event for the North American Powersports Industry because it is the catalyst to bring together industry, media, dealers and consumers in a single arena.

AIMExpo presented by Nationwide provides a comprehensive B2B and B2C platform. It connects businesses to accelerate opportunities among exhibiting brands, distributors, dealers, media and enthusiasts.

AIMExpo presented by Nationwide is the annual grand stage for North American powersports. It attracts the influential industry leaders who are focused on progressing the powersports business. Together we can energize the industry and showcases new products to media, retailers and consumers. We also provide invaluable dealer education programs. So, if you?re a dealer in the powersports business, you need to be here!

AIMExpo presented by Nationwide is produced by the Motorcycle Industry Council."
"Bike, Car & Motorcycle",Las Vegas Bike Fest 2020,Las Vegas,Nevada,-,-,Oct 1 - Oct 4,Motorcycle Show
Food & Hospitality,2020 ÿLas Vegas Food & Wine Festival,Las Vegas,Nevada,-,-,Oct 1 - Oct 4,Food & Beverage Show
Food & Hospitality,Central Florida Veg Fest 2020,Orlando,Florida,-,-,Oct 1 - Oct 1,Food & Beverage Show
"Art, Craft & Collectibles",31st Harvest Festival Original Art & Craft Show - Ventura 2020,Ventura,California,"14,000",220,Oct 2 - Oct 4,"Now in our 46th year, the Harvest Festival? Original Art & Craft Show is known as one of the West Coast's premiere shows. See over 300 of the nation?s most talented artisans & shop thousands of American handmade arts & crafts. You will find beautiful wall art, sculptures, glasswork, metalwork, jewelry, clothing, specialty foods, photography, hand-turned wood, ceramics, unique home decor, and much more. The show also features demonstrating artists, live on-stage performance acts, great musical bands, strolling entertainers, as well as a KidZone area with arts, crafts, and activities for the little ones throughout the event!! We have an end-of-year Grand Prize Raffle Drawing, entries only available at the shows. Two (2) Daily 'Grab Bag' drawings for $50 in Harvey Bucks to be spent at the show; entry forms only available on our website! For more info, visit www.harvestfestival.com

Venue:

https://www.venturacountyfair.org/"
Air & Water Shows,41st Annual Ozark Fall Farmfest 2020,Springfield,Missouri,"61,000","1,000",Oct 2 - Oct 4,"About Us

The Ozark Fall Farmfest began in 1980 when Farm Talk Newspaper, a regional weekly agricultural publication, and the Ozark Empire Fairgrounds joined together to host a show featuring the latest in agricultural products and services in the Ozarks.

In the nearly four decades following, the Ozark Fall Farmfest has attracted tens of thousands of farmers and ranchers annually on the first weekend in October at the Ozark Empire Fairgrounds in Springfield, Missouri.

Today, the Ozark Fall Farmfest offers over 900 agricultural and rural living exhibits and features more than 500 head of registered livestock.

Join us for the 41st annual Ozark Fall Farmfest on Oct. 2, 3 & 4, 2020. Show hours are 9 a.m. to 5 p.m. on Friday and Saturday and 9 a.m. to 4 p.m. on Sunday.

Parking and admission are free.

The Ozark Fall Farmfest is held annually on the first weekend of October at the Ozark Empire Fairgrounds in Springfield, Missouri. With over 1,000 agricultural and rural living exhibits and more than 500 head of registered livestock on display, it has been deemed the Ozarks? largest agricultural event.

The Ozark Fall Farmfest is sponsored by Farm Talk Newspaper and the Ozark Empire Fairgrounds."
Food & Hospitality,Hawaii Food & Wine Festival,Waikoloa Village,Hawaii,-,-,Oct 2 - Oct 25,Food & Beverage Show
Food & Hospitality,2020 California Avocado Festival,Carpinteria,California,-,-,Oct 2 - Oct 4,Food & Beverage Show
Food & Hospitality,2020 Destin Seafood Festival,Destin,Florida,-,-,Oct 2 - Oct 4,Food & Beverage Show
RV & Motor Show,California RV Show,Fontana,California,-,-,Oct 2 - Oct 11,RV Show
Air & Water Shows,Albuquerque International Balloon Fiesta 2020,Albuquerque,New Mexico,-,-,Oct 3 - Oct 11,"Event Overview:

The Albuquerque International Balloon Fiesta is a world-renowned attraction and destination for kids of all ages. For more than four decades, the first week in October brings the smell of roasting chiles and the beautiful, magical moving picture show of hot air balloons sailing silently through the crisp fall air.

Guests from all over the world come to Albuquerque to celebrate ballooning. Literally hundreds of balloons will be taking flight from the Balloon Fiesta Park this year.

From its modest beginnings in 1972 with 13 balloons launching from a shopping mall parking lot, the Balloon Fiesta has grown to multiple events launching year-round at the custom-designed, 365-acre Balloon Fiesta Park. Our signature event remains Balloon Fiesta?which, with almost 600 balloons, is the largest ballooning event on earth, the most photographed event on earth, and the largest annual international event held in the United States.

Imagine 54 football fields, all put together. That's the size of Balloon Fiesta Park's 78-acre launch field! And at this Park's ""playing field,"" there are no losing teams and no viewing stands. Guests walk the field and are part of the action.

Hundreds of thousands of smiling, upturned faces, awestruck by the spectacular beauty of hot air balloons filling the big blue New Mexico sky. What you can't hear until you walk our field at nightfall is the thrilling roar of hundreds of burners simultaneously igniting, turning the Park into a huge lighted Christmas tree of colorful balloons. What you can't feel until you join us is the massive joy everywhere around you."
"Literary, Books & Writers",Bucks County Book Festival 2020,Doylestown,Pennsylvania,-,-,Oct 3 - Oct 4,Book Show
RV & Motor Show,Tacoma Fall RV Show,Tacoma,Washington,-,-,Oct 3 - Oct 6,RV Show
Air & Water Shows,Military Aviation Museum Biplanes & Brews,Virginia Beach,Virginia,-,-,Oct 3 - Oct 4,Air Show
Air & Water Shows,Minden-Tahoe Aviation Roundup,Minden,Nevada,-,-,Oct 3 - Oct 4,Air Show
Air & Water Shows,CAF-RGV Wing Airshow 2020,Los Fresnos,Texas,-,-,Oct 3 - Oct 4,Air Show
Air & Water Shows,2020 California Capital Airshow,Mather,California,-,-,Oct 3 - Oct 4,Air Show
Air & Water Shows,Naval Base Ventura County Air Show 2020,Port Hueneme,California,-,-,Oct 3 - Oct 4,Air Show
RV & Motor Show,OffGrid Expo,Golden,Colorado,-,-,Oct 4 - Oct 6,RV Show
Air & Water Shows,CFB North Bay Armed Forces Day 2020,North Bay,Ontario,-,-,Oct 6 - Oct 6,Air Show
Boat Show,2020 United States Sailboat Show,Annapolis,Maryland,-,-,Oct 8 - Oct 12,"In October sailors from around the globe will gather on miles of docks in beautiful downtown historic Annapolis to celebrate 50 Years of Sailboat Shows in Annapolis. The United States Sailboat Show is an internationally acclaimed sailboat show, recognized as the world?s largest and most prestigious sailboat show.

Boat show goers will enjoy the unique opportunity to board and inspect new models from virtually every major sailboat manufacturer, make side-by-side comparisons, talk to industry representatives, and see the latest in boating products and services. Come enjoy a day of exhibiting, shopping, drink tastings, and live entertainment!"
"Literary, Books & Writers",New York Comic Con 2020,New York,New York,-,-,Oct 8 - Oct 11,"Event Overview:

New York Comic Con is the East Coast's biggest and most exciting popular culture convention. Our Show Floor plays host to the latest and greatest in comics, graphic novels, anime, manga, video games, toys, movies and television. Our panels and autograph sessions give Fans a chance to interact with their favorite creators. Our screening rooms feature sneak peeks at films and television shows months before they hit either big or small screens. And with dedicated professional hours, New York Comic Con is a market place, bringing together the major players in the entertainment industry. New York Comic Con is the second largest pop culture convention in America and the only one that takes place in the comic book, publishing, media and licensing capital of the world - Gotham City.

There are a number of comic book shows around the country and even around New York City. New York Comic Con is ONLY affiliated with C2E2: The Chicago Comic & Entertainment Expo, Emerald City Comicon and Special Edition: NYC. We do not run, do not staff, are not part of any other comic conventions in the US. New York Comic Con is a ReedPOP show and is not affiliated with San Diego Comic-Con (SDCC).

Exhibitor Information:

New York Comic Con will feature the latest and greatest entertainment, comics, gaming, anime, manga, screenings and more!

Products & Services:

Comics

Graphic Novels

Games

Toys

Manga

Anime

Movies/TV

Special Guests

Screenings

Panels"
Food & Hospitality,NYC Wine & Food Festival,New York City,New York,-,-,Oct 8 - Oct 11,Food & Beverage Show
"Art, Craft & Collectibles",23rd Harvest Festival Original Art & Craft Show - Del Mar 2020,San Diego,California,"13,000",300,Oct 9 - Oct 11,"Now in our 46th year, the Harvest Festival? Original Art & Craft Show is known as one of the West Coast's premiere shows. See over 300 of the nation?s most talented artisans & shop thousands of American handmade arts & crafts. You will find beautiful wall art, sculptures, glasswork, metalwork, jewelry, clothing, specialty foods, photography, hand-turned wood, ceramics, unique home decor, and much more. The show also features demonstrating artists, live on-stage performance acts, great musical bands, strolling entertainers, as well as a KidZone area with arts, crafts, and activities for the little ones throughout the event!! We have an end-of-year Grand Prize Raffle Drawing, entries only available at the shows. Two (2) Daily 'Grab Bag' drawings for $50 in Harvey Bucks to be spent at the show; entry forms only available on our website! For more info, visit www.harvestfestival.com

Venue: http://www.delmarfairgrounds.com/"
Boat Show,2020 Wilmington Boat Show,Wilmington,North Carolina,-,-,Oct 9 - Oct 12,Boat Show
Food & Hospitality,Fall for Greenville 2020,Greenville,South Carolina,-,-,Oct 9 - Oct 11,Food & Beverage Show
Food & Hospitality,BBQ & Blues Festival 2020,Clermont,Florida,-,-,Oct 9 - Oct 11,Food & Beverage Show
